ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,job,housing,loan,contact,emp.var.rate,cons.price.idx,cons.conf.idx,revolve_ind,delq_ind,score
41,360000,1,1,2,33,218668,221296,206895,NA,195969,179224,10000,7000,6000,188840,28000,4000,management,yes,no,telephone,1.1,93.994,-36.4,1,0,0.287669972
42,70000,2,1,2,25,67521,66999,NA,63699,64718,65970,3000,4500,4042,2500,2800,2500,entrepreneur,yes,no,telephone,1.1,93.994,-36.4,0,0,0.162419225
43,10000,1,2,2,22,1877,3184,6003,3576,NA,NA,1500,2927,1000,300,1000,500,admin.,no,no,telephone,1.1,93.994,-36.4,0,0,0.65927495
44,140000,2,2,1,37,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,admin.,no,yes,telephone,1.1,93.994,-36.4,1,1,0.393698612
45,40000,2,1,2,30,18927,21295,25921,25209,NA,29197,3000,5000,0,2000,3000,0,admin.,yes,no, ,1.1,93.994,-36.4,1,1,0.084065436
46,210000,1,1,2,29,NA,0,0,0,0,0,0,0,0,0,0,0,technician,no,no,telephone,1.1,93.994,-36.4,0,0,0.121572488
47,20000,2,1,2,22,14028,16484,15800,16341,NA,NA,3000,0,16741,334,0,0,admin.,yes,yes,telephone,1.1,93.994,-36.4,0,1,0.327900528
48,150000,2,5,2,46,4463,3034,1170,NA,NA,NA,1013,1170,0,0,0,0,blue-collar,no,yes,telephone,1.1,93.994,-36.4,1,0,0.848860821
49,380000,1,2,2,32,22401,21540,15134,32018,11849,NA,21540,15138,24677,11851,11875,8251,admin.,yes,no,telephone,1.1,93.994,-36.4,0,1,0.452003166
50,20000,1,1,2,24,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,blue-collar,yes,no,telephone,1.1,93.994,-36.4,0,1,0.257336466
51,70000,1,3,2,42,37042,36171,NA,39423,38659,39362,0,3100,2000,0,1500,1500,admin.,no,no,telephone,1.1,93.994,-36.4,0,1,0.250881818
52,1.00E+05,2,3,3,43,61559,51163,43824,NA,35762,33258,2000,1606,1500,2000,1500,1000,housemaid,no,yes,telephone,1.1,93.994,-36.4,1,0,0.95259646
53,310000,2,2,1,49,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,admin.,no,no, ,1.1,93.994,-36.4,1,1,0.967291737
54,180000,2,1,2,25,41402,41742,42758,NA,44420,NA,1300,2010,1762,1762,1790,1622,admin.,no,no, ,1.1,93.994,-36.4,0,0,0.216732923
55,150000,2,1,2,29,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,blue-collar,no,no,telephone,1.1,93.994,-36.4,1,0,0.958422355
56,5.00E+05,2,1,1,45,1905,3640,162,0,151,NA,3640,162,0,151,2530,0,technician,yes,no,telephone,1.1,93.994,-36.4,0,0,0.337695809
57,180000,2,3,1,34,16386,NA,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,management,no,yes,telephone,1.1,93.994,-36.4,1,0,0.143384953
58,180000,2,2,1,34,NA,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,services,yes,no,telephone,1.1,93.994,-36.4,0,0,0.504954926
59,2.00E+05,2,1,2,34,NA,1098,782,1166,700,NA,0,0,700,0,1200,0,unemployed,yes,yes,telephone,1.1,93.994,-36.4,1,1,0.278046388
60,4.00E+05,2,2,1,29,400134,398857,404205,360199,356656,NA,17000,15029,30000,12000,12000,23000,technician,yes,no,telephone,1.1,93.994,-36.4,1,1,0.450608741
61,5.00E+05,2,3,1,28,22848,23638,NA,14937,13827,15571,1516,1300,1000,1000,2000,2000,entrepreneur,no,no,telephone,1.1,93.994,-36.4,1,1,0.93627799
62,70000,1,2,1,39,NA,72060,NA,16518,NA,830,4025,2095,1000,2000,3000,0,blue-collar,yes,no,telephone,1.1,93.994,-36.4,1,0,0.836694022
63,50000,1,1,2,29,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,blue-collar,yes,no,telephone,1.1,93.994,-36.4,0,0,0.937100953
64,50000,2,2,1,46,28718,29166,0,NA,0,0,1000,0,0,0,0,0,blue-collar,no,no,telephone,1.1,93.994,-36.4,1,0,0.514062932
65,130000,2,2,1,51,NA,0,NA,0,2353,0,0,0,0,2353,0,0,admin.,no,no,telephone,1.1,93.994,-36.4,0,0,0.715560636
66,2.00E+05,1,1,1,57,NA,NA,NA,8174,8198,7918,0,0,8222,300,0,1000,admin.,no,no,telephone,1.1,93.994,-36.4,0,1,0.377376017
67,10000,1,2,1,56,2097,4193,3978,4062,4196,NA,2300,0,150,200,200,160,blue-collar,yes,no,telephone,1.1,93.994,-36.4,1,0,0.071957896
68,210000,2,1,2,30,300,300,NA,2280,NA,4250,300,1159,2280,300,4250,909,admin.,yes,no,telephone,1.1,93.994,-36.4,0,0,0.57365549
69,130000,2,3,2,29,-190,-9850,-9850,NA,10161,7319,0,0,20161,0,7319,13899,admin.,yes,no,telephone,1.1,93.994,-36.4,0,0,0.629716278
70,20000,1,5,2,22,18565,17204,17285,18085,NA,5982,0,1200,1000,500,1000,0,blue-collar,yes,yes,telephone,1.1,93.994,-36.4,1,1,0.248582008
71,80000,1,1,2,31,780,NA,NA,390,390,390,0,390,390,390,390,390,management,no,no,telephone,1.1,93.994,-36.4,1,0,0.989083441
72,320000,1,2,2,29,58267,59246,60184,58622,NA,NA,2500,2500,0,4800,2400,1600,management,yes,no,telephone,1.1,93.994,-36.4,0,0,0.062726777
73,2.00E+05,2,2,1,32,9076,NA,-684,5247,3848,3151,5818,15,9102,17,3165,1395,admin.,yes,no,telephone,1.1,93.994,-36.4,0,0,0.389013005
74,290000,2,1,2,37,0,NA,3155,0,NA,0,0,3155,0,2359,0,0,unknown,no,no,telephone,1.1,93.994,-36.4,0,1,0.563290963
75,340000,1,1,2,32,3048,5550,23337,4291,NA,25820,5713,23453,4314,80552,25949,2016,admin.,yes,no,telephone,1.1,93.994,-36.4,0,1,0.140081889
76,20000,1,2,2,24,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,blue-collar,yes,no,telephone,1.1,93.994,-36.4,1,0,0.030166109
77,50000,1,3,2,25,NA,37225,NA,9636,9590,10030,1759,1779,320,500,1000,1000,technician,no,no,telephone,1.1,93.994,-36.4,1,0,0.484872997
78,3.00E+05,2,1,1,45,291,291,NA,291,291,291,291,291,291,291,291,291,services,yes,no,telephone,1.1,93.994,-36.4,1,1,0.4448768
79,30000,2,2,2,22,28387,29612,30326,28004,NA,6411,1686,1400,560,3000,1765,0,management,yes,no, ,1.1,93.994,-36.4,1,0,0.034950725
80,240000,2,2,2,44,0,0,NA,0,0,NA,0,0,0,0,0,0,blue-collar,no,no,telephone,1.1,93.994,-36.4,0,0,0.666163149
81,470000,2,3,3,33,165254,157784,162702,NA,29271,29889,6400,7566,3000,960,1000,3000,blue-collar,yes,no, ,1.1,93.994,-36.4,0,1,0.972723199
82,360000,2,1,2,26,23411,27796,30400,33100,NA,196,4796,3400,3100,146900,196,2963,blue-collar,unknown,unknown,telephone,1.1,93.994,-36.4,1,1,0.551780169
83,60000,1,3,2,30,26324,27471,28108,NA,NA,19771,1576,1213,648,768,1140,0,admin.,no,no,telephone,1.1,93.994,-36.4,0,1,0.307882606
84,4.00E+05,2,2,1,44,NA,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,entrepreneur,yes,no,telephone,1.1,93.994,-36.4,0,0,0.705857321
85,50000,2,3,2,49,48909,47863,21489,20414,19342,NA,1676,1302,700,699,849,826,technician,no,yes,telephone,1.1,93.994,-36.4,0,1,0.51016134
86,160000,1,2,2,33,130028,107808,71934,NA,NA,120418,4400,3547,80000,4500,4800,4500,admin.,no,no,telephone,1.1,93.994,-36.4,1,0,0.420224503
87,360000,2,1,1,45,NA,NA,780,390,390,390,1170,0,0,390,390,390,management,no,no,telephone,1.1,93.994,-36.4,1,1,0.379637275
88,160000,2,2,2,32,3826,NA,6604,8604,7072,766,1147,2000,2000,0,766,2303,admin.,yes,yes,telephone,1.1,93.994,-36.4,0,0,0.821722098
89,130000,2,1,1,35,81313,117866,NA,1330,NA,1190,40000,5000,1330,7095,1190,2090,technician,no,no,telephone,1.1,93.994,-36.4,0,1,0.881705941
90,20000,1,3,2,44,8583,8303,9651,NA,NA,11970,0,1651,1000,2000,0,1500,admin.,yes,no,telephone,1.1,93.994,-36.4,1,0,0.889379649
91,2.00E+05,1,1,1,53,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,admin.,yes,no,telephone,1.1,93.994,-36.4,1,0,0.840973083
92,280000,2,1,2,39,7524,0,3968,3868,NA,0,0,3968,0,0,0,0,unknown,yes,no,telephone,1.1,93.994,-36.4,1,1,0.631601886
93,1.00E+05,2,1,2,27,-2000,5555,0,0,0,0,7555,0,0,0,0,0,admin.,no,yes, ,1.1,93.994,-36.4,0,1,0.264378661
94,160000,2,2,1,37,880,1602,NA,NA,0,0,1602,840,840,0,0,7736,unemployed,no,no,telephone,1.1,93.994,-36.4,0,0,0.278414979
95,60000,2,2,2,23,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,blue-collar,no,yes,telephone,1.1,93.994,-36.4,1,0,0.486079854
96,90000,1,2,2,35,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,services,yes,no,telephone,1.1,93.994,-36.4,1,1,0.385641426
97,360000,1,1,1,43,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,management,no,no,telephone,1.1,93.994,-36.4,0,1,0.564666361
98,150000,1,1,2,27,NA,86108,NA,89775,87725,40788,4031,10006,3266,4040,1698,800,admin.,no,no,telephone,1.1,93.994,-36.4,1,1,0.966938446
99,50000,2,3,1,22,18722,18160,16997,13150,8866,NA,1411,1194,379,281,321,197,technician,no,no,telephone,1.1,93.994,-36.4,1,0,0.289015044
100,20000,1,2,1,38,17973,19367,NA,18240,17928,150,1699,1460,626,1750,150,0,blue-collar,no,no,telephone,1.1,93.994,-36.4,0,1,0.676879308
101,140000,1,1,2,32,672,10212,850,415,100,1430,10212,850,415,100,1430,0,services,yes,no,telephone,1.1,93.994,-36.4,0,0,0.390853549
102,380000,2,1,2,30,-81,-303,32475,32891,NA,NA,223,33178,1171,1197,1250,5000,blue-collar,no,no,telephone,1.1,93.994,-36.4,1,0,0.361879353
103,480000,1,1,1,63,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,services,no,no,telephone,1.1,93.994,-36.4,0,1,0.81481709
104,50000,2,3,2,22,44698,42254,NA,32496,23477,24094,1767,1362,1002,840,995,904,admin.,no,no,telephone,1.1,93.994,-36.4,0,0,0.982577168
105,60000,2,2,2,26,56685,55208,NA,60218,NA,55305,0,5000,2511,6,3000,3000,admin.,no,no,telephone,1.1,93.994,-36.4,1,0,0.704404133
106,70000,2,2,2,24,5580,0,0,0,0,26529,0,0,0,0,26529,2000,services,no,no,telephone,1.1,93.994,-36.4,0,1,0.196843396
107,80000,2,2,1,36,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,housemaid,yes,no,telephone,1.1,93.994,-36.4,0,0,0.120588053
108,350000,1,1,2,52,713,2272,722,NA,1150,5263,2272,722,867,1150,5263,5011,admin.,yes,no,telephone,1.1,93.994,-36.4,0,1,0.274197013
109,130000,1,2,2,38,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,entrepreneur,yes,no,telephone,1.1,93.994,-36.4,1,1,0.069022548
110,360000,1,2,1,35,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,technician,yes,yes,telephone,1.1,93.994,-36.4,0,1,0.623620873
111,330000,2,1,1,31,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,retired,no,no,telephone,1.1,93.994,-36.4,1,1,0.109489216
112,50000,1,3,1,47,NA,NA,NA,15928,16671,17393,2000,1000,1000,1000,1000,1000,unemployed,no,no,telephone,1.1,93.994,-36.4,0,0,0.014996889
113,280000,1,2,1,41,NA,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,services,yes,no,telephone,1.1,93.994,-36.4,1,0,0.386409875
114,1.00E+05,2,1,2,24,52128,52692,54477,56076,NA,59713,2000,2677,3076,5080,3000,2033,blue-collar,yes,no,telephone,1.1,93.994,-36.4,1,1,0.088293943
115,50000,1,2,2,41,19015,NA,20259,NA,20311,19957,1340,1305,700,718,724,684,management,no,no,telephone,1.1,93.994,-36.4,0,0,0.508311677
116,30000,1,1,2,24,18199,17618,18631,21319,NA,21201,0,1312,3000,0,1000,1000,blue-collar,no,no,telephone,1.1,93.994,-36.4,0,0,0.224590738
117,240000,1,1,2,28,326,NA,326,NA,NA,326,326,326,5676,476,326,526,admin.,no,no,telephone,1.1,93.994,-36.4,1,1,0.518783336
118,80000,1,2,2,26,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,blue-collar,yes,no, ,1.1,93.994,-36.4,0,0,0.398552728
119,4.00E+05,1,2,1,34,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,admin.,yes,no,telephone,1.1,93.994,-36.4,0,1,0.394632855
120,240000,2,2,2,38,50254,NA,53015,52479,NA,1203,2000,3000,3000,1307,1203,563,blue-collar,yes,no,telephone,1.1,93.994,-36.4,1,1,0.14344171
121,50000,1,3,2,37,46004,45976,48953,NA,49318,51143,1000,4035,1000,1400,2800,0,blue-collar,yes,no, ,1.1,93.994,-36.4,0,0,0.588265572
122,450000,1,1,1,40,0,0,0,NA,NA,0,0,0,0,0,0,0,blue-collar,no,no,telephone,1.1,93.994,-36.4,1,1,0.339765105
123,110000,2,1,1,48,0,0,0,NA,NA,0,0,0,0,0,0,0,services,no,no, ,1.1,93.994,-36.4,1,1,0.551181902
124,310000,2,2,1,35,NA,311243,306314,258610,NA,198889,13019,11128,8407,8599,6833,5987,technician,yes,no,telephone,1.1,93.994,-36.4,0,1,0.561768263
125,20000,1,1,2,27,19115,18962,19298,NA,NA,15630,1404,1130,600,861,313,0,admin.,yes,yes,telephone,1.1,93.994,-36.4,1,0,0.229697818
126,20000,1,2,2,23,0,0,0,NA,NA,0,0,0,0,0,0,0,admin.,no,yes,telephone,1.1,93.994,-36.4,0,1,0.657417594
127,2.00E+05,1,3,2,52,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,admin.,no,no,telephone,1.1,93.994,-36.4,1,1,0.805422843
128,180000,1,1,1,36,163736,NA,99278,95766,NA,95927,4655,2690,2067,2142,2217,1000,technician,yes,yes,telephone,1.1,93.994,-36.4,0,0,0.480854726
129,50000,1,2,1,51,3347,3899,NA,NA,6375,7077,1000,1066,1300,1500,1200,134,retired,yes,no,telephone,1.1,93.994,-36.4,1,1,0.187144517
130,60000,1,3,1,55,60521,NA,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,technician,yes,no,telephone,1.1,93.994,-36.4,1,0,0.448070735
131,30000,2,1,2,23,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,blue-collar,yes,yes,telephone,1.1,93.994,-36.4,1,0,0.270723601
132,240000,1,1,2,41,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,technician,no,no,telephone,1.1,93.994,-36.4,1,0,0.481596146
133,420000,1,2,1,34,NA,247743,229049,220951,NA,188108,9744,9553,7603,7830,7253,11326,blue-collar,yes,no,telephone,1.1,93.994,-36.4,1,1,0.649165907
134,330000,1,3,1,46,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,blue-collar,yes,no,telephone,1.1,93.994,-36.4,1,1,0.537944065
135,30000,2,2,2,22,28452,26145,26712,NA,17603,-780,2000,1400,0,500,0,1560,management,no,no,telephone,1.1,93.994,-36.4,1,0,0.571580429
136,240000,1,2,1,34,10674,12035,NA,NA,14158,13891,1500,1800,0,1000,0,327,management,no,no,telephone,1.1,93.994,-36.4,0,1,0.77518947
137,150000,1,1,2,27,17444,19342,22000,NA,27200,30229,2500,3000,3000,3000,3500,5000,housemaid,no,no,telephone,1.1,93.994,-36.4,1,0,0.904319994
138,210000,2,2,1,33,7166,7997,8792,9189,NA,5708,1500,1500,1000,500,2000,546,blue-collar,no,no,telephone,1.1,93.994,-36.4,1,0,0.537665238
139,50000,2,3,1,51,752,300,5880,0,0,0,300,5880,0,0,0,0,services,yes,no, ,1.1,93.994,-36.4,1,0,0.066671081
140,50000,1,1,2,24,50801,50143,NA,NA,NA,18995,2360,1700,1000,900,870,2130,blue-collar,yes,no,telephone,1.1,93.994,-36.4,0,0,0.675836202
141,240000,1,1,2,47,0,0,0,0,0,NA,0,0,0,0,0,0,unemployed,yes,no, ,1.1,93.994,-36.4,0,0,0.032336456
142,180000,1,2,2,28,1832,0,832,332,416,416,0,416,332,500,3500,832,management,yes,no, ,1.1,93.994,-36.4,1,1,0.031041598
143,50000,1,2,2,23,10131,NA,NA,19996,19879,18065,1000,10000,400,700,800,600,management,yes,no,telephone,1.1,93.994,-36.4,0,1,0.393456598
144,170000,1,2,2,29,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,blue-collar,yes,no, ,1.1,93.994,-36.4,0,1,0.818671414
145,20000,1,1,2,29,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,330,unknown,yes,no,telephone,1.1,93.994,-36.4,1,1,0.658955358
146,50000,1,1,2,28,4999,5913,7315,9195,10624,NA,1000,1500,2000,1583,1100,0,blue-collar,yes,no,telephone,1.1,93.994,-36.4,1,1,0.989175233
147,170000,2,2,2,27,19269,20313,20852,NA,NA,9100,1661,1200,351,358,182,0,blue-collar,no,no,telephone,1.1,93.994,-36.4,1,0,0.510902852
148,2.00E+05,1,1,2,34,197236,176192,93069,135668,NA,59875,8000,5000,55500,5000,5000,8500,admin.,yes,no,telephone,1.1,93.994,-36.4,0,0,0.279912824
149,80000,2,2,1,23,9168,10522,NA,9898,10123,12034,1650,0,0,379,2091,1,admin.,yes,no,telephone,1.1,93.994,-36.4,1,0,0.643910268
150,260000,2,1,1,60,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,blue-collar,yes,no, ,1.1,93.994,-36.4,0,0,0.900555045
151,140000,1,2,1,32,86627,78142,68336,64648,58319,55251,3455,3110,5000,0,2100,2602,blue-collar,no,no,telephone,1.1,93.994,-36.4,1,1,0.046982472
152,80000,1,1,2,25,42444,55744,NA,41087,41951,31826,30000,3000,6000,8000,2000,14000,entrepreneur,yes,no,telephone,1.1,93.994,-36.4,1,1,0.814738357
153,350000,1,1,2,41,208,2906,1000,630,NA,0,2906,1000,630,0,0,0,services,yes,no, ,1.1,93.994,-36.4,0,0,0.089067285
154,280000,2,2,1,56,208775,182350,132257,101783,177145,169311,8042,6700,5137,1.00E+05,7000,6321,entrepreneur,no,no,telephone,1.1,93.994,-36.4,1,0,0.829822714
155,30000,2,3,2,26,9014,10406,11427,NA,13084,14206,1700,1500,1000,1500,1500,1500,blue-collar,yes,yes,telephone,1.1,93.994,-36.4,0,1,0.505450756
156,140000,1,1,1,34,23944,28049,32073,NA,47086,NA,5000,5000,11885,5000,3000,5504,blue-collar,yes,yes,telephone,1.1,93.994,-36.4,1,0,0.564822099
157,2.00E+05,2,1,2,37,105420,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,5000,blue-collar,yes,no,telephone,1.1,93.994,-36.4,0,1,0.655927372
158,2.00E+05,2,3,2,30,196031,196143,NA,NA,146975,122324,7300,7108,7680,6200,5000,4500,blue-collar,no,no,telephone,1.1,93.994,-36.4,1,1,0.624219441
159,210000,1,3,1,45,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,technician,yes,no,telephone,1.1,93.994,-36.4,1,1,0.207591737
160,50000,1,3,1,57,12854,NA,13447,13427,13711,14083,0,1600,500,500,600,600,services,no,no,telephone,1.1,93.994,-36.4,0,1,0.475309083
161,30000,1,1,2,41,NA,27453,26718,28168,27579,NA,3500,0,2200,0,1200,1250,management,yes,no,telephone,1.1,93.994,-36.4,0,1,0.4632214
162,50000,1,2,2,27,390,390,780,216,NA,540,390,780,216,864,0,390,blue-collar,yes,yes, ,1.1,93.994,-36.4,0,1,0.491676018
7,5.00E+05,1,1,2,29,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,admin.,no,no, ,1.1,93.994,-36.4,0,0,0.713440207
8,1.00E+05,2,2,2,23,11876,380,601,221,NA,567,380,601,0,581,1687,1542,blue-collar,no,no,telephone,1.1,93.994,-36.4,0,0,0.485307737
9,140000,2,3,1,28,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,technician,yes,no,telephone,1.1,93.994,-36.4,1,1,0.352804086
